delay,cue_visibility,obs_mode,temporal_mode,dataset_seed,model,memory_span,state_dim,n_train,n_test,action_accuracy
4,visible_state,dense,temporal_full,7015,memoryless_linear,,26,8,4,1.0
4,visible_state,dense,temporal_full,7021,memoryless_linear,,26,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,memoryless_linear,,12,8,4,0.5
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,history_h4,4,48,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,lin_block_r3_l4,4,72,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,history_h16,16,192,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,lin_block_r3_l16,16,216,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,history_h32,32,384,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,lin_block_r3_l32,32,408,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,history_h64,64,768,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,lin_block_r3_l64,64,792,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,history_h80,80,960,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,lin_block_r3_l80,80,984,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,numpy_rnn_h32,,32,8,4,0.5
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,reservoir_nilpotent_h32,,32,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,numpy_rnn_h128,,128,8,4,0.5
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8015,reservoir_nilpotent_h128,,128,8,4,1.0
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8021,memoryless_linear,,12,8,4,0.5
4,cue_gap,sparse_aliased,temporal_cue_then_blank,8021,history_h4,4,48,8,4,1.0
