environment,observation_mode,goal_depth,n_policy_states,policy_ambiguous_observation_fraction,weighted_policy_ambiguity,mean_policy_set_size
trace_commute_000,full,8.000000,9840.000000,0.000000,0.000000,1.000000
trace_commute_000,counts,8.000000,9840.000000,0.848485,0.997459,1.000000
trace_commute_000,depth_last,8.000000,9840.000000,0.240000,0.110976,1.000000
trace_commute_000,depth,8.000000,9840.000000,0.888889,0.999898,1.000000
trace_commute_033,full,8.000000,4179.000000,0.000000,0.000000,1.145729
trace_commute_033,counts,8.000000,4179.000000,0.678788,0.987318,1.145729
trace_commute_033,depth_last,8.000000,4179.000000,0.600000,0.507777,1.145729
trace_commute_033,depth,8.000000,4179.000000,0.888889,0.999761,1.145729
trace_commute_067,full,8.000000,1012.000000,0.000000,0.000000,1.488142
trace_commute_067,counts,8.000000,1012.000000,0.509091,0.919960,1.488142
trace_commute_067,depth_last,8.000000,1012.000000,0.560000,0.989130,1.488142
trace_commute_067,depth,8.000000,1012.000000,0.888889,0.999012,1.488142
trace_commute_100,full,8.000000,164.000000,0.000000,0.000000,2.195122
trace_commute_100,counts,8.000000,164.000000,0.000000,0.000000,2.195122
trace_commute_100,depth_last,8.000000,164.000000,0.520000,0.920732,2.195122
trace_commute_100,depth,8.000000,164.000000,0.777778,0.975610,2.195122
