obs_mode,temporal_mode,action_input,action_embedding_dim,sequence_r,sequence_l,sequence_ell,input_injection,n_tasks,action_accuracy_mean,action_accuracy_sem,behavioral_context_accuracy_mean
gaussian_sensory,temporal_cue_then_blank,embedding,8,3,4,6,all_units,15,0.6519778106202838,0.05631892776388975,0.9355555555555556
gaussian_sensory,temporal_cue_then_blank,embedding,8,3,4,6,front_bands,15,0.6576894391948155,0.05546948239362963,0.9366666666666668
gaussian_sensory,temporal_cue_then_blank,none,0,3,4,6,all_units,15,0.5480726685699804,0.06545798843329424,0.8855555555555557
gaussian_sensory,temporal_cue_then_blank,none,0,3,4,6,front_bands,15,0.5587685482577956,0.0665501037219202,0.8711111111111112
gaussian_sensory,temporal_cue_then_blank,one_hot,0,3,4,6,all_units,15,0.6363855787780519,0.06063099980988033,0.9344444444444445
gaussian_sensory,temporal_cue_then_blank,one_hot,0,3,4,6,front_bands,15,0.6516883957340945,0.058597085975825816,0.9066666666666666
gaussian_sensory,temporal_dropout,embedding,8,3,4,6,all_units,15,0.6500590518601271,0.053152871771023916,0.9055555555555556
gaussian_sensory,temporal_dropout,embedding,8,3,4,6,front_bands,15,0.6321104348658112,0.05102854617085925,0.8788888888888889
gaussian_sensory,temporal_dropout,none,0,3,4,6,all_units,15,0.6093545801072683,0.05139651078771376,0.8422222222222222
gaussian_sensory,temporal_dropout,none,0,3,4,6,front_bands,15,0.6197099321427278,0.053887030938071234,0.8111111111111111
gaussian_sensory,temporal_dropout,one_hot,0,3,4,6,all_units,15,0.639405983801145,0.053065603264350274,0.9166666666666666
gaussian_sensory,temporal_dropout,one_hot,0,3,4,6,front_bands,15,0.6442064332521321,0.05366786316764975,0.9177777777777777
gaussian_sensory,temporal_full,embedding,8,3,4,6,all_units,15,0.6644429704107123,0.06445039073699085,0.9177777777777777
gaussian_sensory,temporal_full,embedding,8,3,4,6,front_bands,15,0.68409970803788,0.060705223691324306,0.9333333333333333
gaussian_sensory,temporal_full,none,0,3,4,6,all_units,15,0.6784362053716892,0.06711496420205483,0.861111111111111
gaussian_sensory,temporal_full,none,0,3,4,6,front_bands,15,0.6718579484036472,0.06165035096203781,0.8822222222222222
gaussian_sensory,temporal_full,one_hot,0,3,4,6,all_units,15,0.7051477654165825,0.059116715226917416,0.9455555555555556
gaussian_sensory,temporal_full,one_hot,0,3,4,6,front_bands,15,0.6866795967871238,0.057676688843077396,0.9555555555555555
