task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
aliased_loop_rooms,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.45,reservoir_diagonal,0.6,0.14999999999999997
aliased_loop_rooms,gaussian_sensory,temporal_cue_then_blank,none,0,0.35,reservoir_diagonal,0.4666666666666666,0.11666666666666664
aliased_loop_rooms,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.45,reservoir_diagonal,0.5499999999999999,0.09999999999999992
aliased_loop_rooms,gaussian_sensory,temporal_dropout,embedding,8,0.30000000000000004,lin_block_r3_l2,0.4,0.09999999999999998
aliased_loop_rooms,gaussian_sensory,temporal_dropout,none,0,0.30000000000000004,reservoir_low_rank,0.35000000000000003,0.04999999999999999
aliased_loop_rooms,gaussian_sensory,temporal_dropout,one_hot,0,0.30000000000000004,numpy_rnn,0.45,0.14999999999999997
aliased_loop_rooms,gaussian_sensory,temporal_full,embedding,8,0.5,reservoir_diagonal,0.5499999999999999,0.04999999999999993
aliased_loop_rooms,gaussian_sensory,temporal_full,none,0,0.55,lin_block_r1_l2,0.44999999999999996,-0.10000000000000009
aliased_loop_rooms,gaussian_sensory,temporal_full,one_hot,0,0.5,lin_block_r1_l2,0.5,0.0
aliased_rooms,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.5666666666666667,lin_block_r3_l8,0.8,0.2333333333333334
aliased_rooms,gaussian_sensory,temporal_cue_then_blank,none,0,0.5666666666666667,lin_block_r1_l4,0.8666666666666667,0.30000000000000004
aliased_rooms,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5666666666666667,lin_block_r5_l8,0.7666666666666666,0.19999999999999996
aliased_rooms,gaussian_sensory,temporal_dropout,embedding,8,0.5333333333333333,lin_block_r5_l4,0.8,0.2666666666666667
aliased_rooms,gaussian_sensory,temporal_dropout,none,0,0.7,numpy_rnn,0.7666666666666666,0.06666666666666665
aliased_rooms,gaussian_sensory,temporal_dropout,one_hot,0,0.5333333333333333,lin_block_r3_l4,0.8,0.2666666666666667
aliased_rooms,gaussian_sensory,temporal_full,embedding,8,0.6666666666666666,lin_sequence_front_bands_r1_l8,0.7999999999999999,0.1333333333333333
aliased_rooms,gaussian_sensory,temporal_full,none,0,0.7333333333333334,lin_block_r1_l8,0.8333333333333334,0.09999999999999998
aliased_rooms,gaussian_sensory,temporal_full,one_hot,0,0.6666666666666666,lin_block_r1_l8,0.8333333333333334,0.16666666666666674
aliased_t_maze,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.5,lin_block_r1_l8,1.0,0.5
aliased_t_maze,gaussian_sensory,temporal_cue_then_blank,none,0,0.6666666666666666,lin_block_r1_l8,1.0,0.33333333333333337
aliased_t_maze,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5,lin_block_r1_l8,1.0,0.5
aliased_t_maze,gaussian_sensory,temporal_dropout,embedding,8,0.5,lin_block_r3_l8,1.0,0.5
aliased_t_maze,gaussian_sensory,temporal_dropout,none,0,0.41666666666666663,lin_block_r3_l8,1.0,0.5833333333333334
aliased_t_maze,gaussian_sensory,temporal_dropout,one_hot,0,0.5,lin_block_r3_l8,1.0,0.5
aliased_t_maze,gaussian_sensory,temporal_full,embedding,8,0.5833333333333333,lin_block_r1_l8,1.0,0.41666666666666674
