obs_mode,temporal_mode,action_input,action_embedding_dim,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r1_l2,15,0.6491974274232338,0.04713227651643503,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r1_l4,15,0.6824920091855575,0.056838147700646546,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r1_l8,15,0.7539578581514065,0.05858094915096416,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r3_l2,15,0.6923295745473165,0.05343863445748657,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r3_l4,15,0.6994774744371519,0.05137856113563197,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r3_l8,15,0.7327208529224659,0.05649804275809075,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r5_l2,15,0.7043282673121384,0.05127774825199229,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r5_l4,15,0.6941691686449751,0.057937543988853354,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_block_r5_l8,15,0.7059666752005461,0.0611881122392568,nan,nan
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_all_units_r3_l4,15,0.6519778106202838,0.05631892776388975,0.20888888888888887,0.04572011830810366
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r1_l2,15,0.6213215682167296,0.04800882093125526,0.14999999999999997,0.03631909984459221
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r1_l4,15,0.6701629001225776,0.04875592198712811,0.23648148148148143,0.055924611919109087
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r1_l8,15,0.7010394976389599,0.05459360851604901,0.26222222222222225,0.06290757756977015
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r3_l2,15,0.6482524166395135,0.04991389478498014,0.20833333333333334,0.049293956829353634
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r3_l4,15,0.6576894391948155,0.05546948239362963,0.2094444444444444,0.05480632352363678
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r3_l8,15,0.6920294664515095,0.05906500270167872,0.2870370370370371,0.07299125898290201
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r5_l2,15,0.6427092546044159,0.056853497053919004,0.22925925925925927,0.051963834104785646
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r5_l4,15,0.6355449334616001,0.0592025684910043,0.22925925925925922,0.052119866669684475
gaussian_sensory,temporal_cue_then_blank,embedding,8,lin_sequence_front_bands_r5_l8,15,0.6850028058361392,0.057340094829220985,0.2646296296296296,0.06371120141677629
gaussian_sensory,temporal_cue_then_blank,embedding,8,memoryless_linear,15,0.6259823077161787,0.04533257567474607,0.11,0.03249135009025988
gaussian_sensory,temporal_cue_then_blank,embedding,8,memoryless_mlp,15,0.6259823077161787,0.04533257567474607,0.11,0.03249135009025988
gaussian_sensory,temporal_cue_then_blank,embedding,8,numpy_rnn,15,0.6420689033189031,0.050499248930251144,0.06833333333333334,0.02479012433511104
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_block_hybrid,15,0.6465374171825785,0.050159261846013825,0.25462962962962965,0.055683494659579606
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_diagonal,15,0.7545035027696319,0.034111365559689535,0.2583333333333333,0.054136642065327145
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_low_rank,15,0.6206104115915944,0.049583737263198056,0.1935185185185185,0.042785392940913464
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_nilpotent,15,0.6467665065917755,0.05616200186847415,0.24592592592592594,0.06122516213249343
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_orthogonal,15,0.645002288631321,0.05506154428053399,0.21999999999999995,0.05170676034384413
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_oscillatory,15,0.6342280588785965,0.04928109752658481,0.2274074074074074,0.05045346010228016
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_random,15,0.6454542545268352,0.056083799322195885,0.237962962962963,0.05971632594657932
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_sparse,15,0.6560747904027473,0.049485967836452094,0.2411111111111111,0.05357528890657233
gaussian_sensory,temporal_cue_then_blank,embedding,8,reservoir_symmetric,15,0.67266551847197,0.045922785179842565,0.2157407407407407,0.04660873409212472
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r1_l2,15,0.581756059054446,0.05805232666956388,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r1_l4,15,0.6093069326133841,0.07019101026264894,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r1_l8,15,0.6623980977206784,0.07270722677294661,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r3_l2,15,0.6194013289577806,0.0648645692725375,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r3_l4,15,0.6308358159164611,0.06989383295807984,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r3_l8,15,0.6600117340843147,0.06942569798679514,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r5_l2,15,0.6415617581343388,0.06869165720290384,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r5_l4,15,0.6369600187745349,0.0710914811640373,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_block_r5_l8,15,0.6523728451954258,0.07313449987958769,nan,nan
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_all_units_r3_l4,15,0.5480726685699804,0.06545798843329424,0.1814814814814815,0.04509336668066495
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r1_l2,15,0.5719314884637465,0.06083574848867708,0.11574074074074073,0.034518893201409044
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r1_l4,15,0.5935373770992051,0.06888011398836666,0.1559259259259259,0.036263279984174904
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r1_l8,15,0.6469118282155916,0.06725019837774518,0.2518518518518519,0.06747779626246084
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r3_l2,15,0.5675562718842289,0.06827644526268177,0.16018518518518518,0.038525004541423685
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r3_l4,15,0.5587685482577956,0.0665501037219202,0.17055555555555554,0.04510325211079593
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r3_l8,15,0.6255629386543365,0.07004798176752107,0.24222222222222223,0.06359271123179684
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r5_l2,15,0.5524390150868645,0.06655452984681977,0.17222222222222222,0.04487391703801994
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r5_l4,15,0.5673329169834547,0.06592213557284336,0.19629629629629627,0.04710744428510499
gaussian_sensory,temporal_cue_then_blank,none,0,lin_sequence_front_bands_r5_l8,15,0.6536794274025457,0.06924160055691998,0.25092592592592594,0.07340538120738725
gaussian_sensory,temporal_cue_then_blank,none,0,memoryless_linear,15,0.5723569411472638,0.057449274789122776,0.08055555555555555,0.027920269450850802
gaussian_sensory,temporal_cue_then_blank,none,0,memoryless_mlp,15,0.5723569411472638,0.057449274789122776,0.08055555555555555,0.027920269450850802
gaussian_sensory,temporal_cue_then_blank,none,0,numpy_rnn,15,0.6181352891433536,0.05470366857937787,0.06277777777777778,0.020050641353704508
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_block_hybrid,15,0.5774270353302611,0.06485415669213153,0.20425925925925928,0.05598896198710505
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_diagonal,15,0.668148820514412,0.054131292214262924,0.192037037037037,0.045808969527838424
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_low_rank,15,0.5745194132828542,0.06381033160347777,0.1625925925925926,0.041855714575689464
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_nilpotent,15,0.6055025549918024,0.06849455194483019,0.21648148148148144,0.056712468953684717
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_orthogonal,15,0.5965665164186669,0.06842799251360698,0.22296296296296295,0.05639802143229461
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_oscillatory,15,0.5614321983273596,0.06298095120154863,0.19148148148148147,0.051753118394647954
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_random,15,0.5571087539501518,0.06547056223848759,0.20129629629629628,0.05078952391744704
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_sparse,15,0.5772846488437886,0.06520986303090708,0.20296296296296296,0.05222944525829301
gaussian_sensory,temporal_cue_then_blank,none,0,reservoir_symmetric,15,0.5883543512441363,0.06621567125383908,0.16759259259259257,0.04162755365853204
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r1_l2,15,0.640308538534345,0.04952659738928002,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r1_l4,15,0.6636031202966687,0.05864803724107753,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r1_l8,15,0.7517356359291844,0.0558847700462584,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r3_l2,15,0.6883310253068318,0.05357654876162938,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r3_l4,15,0.7085021489860199,0.050210180883143704,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r3_l8,15,0.7383846723766079,0.05295440167113387,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r5_l2,15,0.7175173005011715,0.05136886593321073,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r5_l4,15,0.7041771206690562,0.05331062084615361,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_block_r5_l8,15,0.7264182144020853,0.05489997006000319,nan,nan
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_all_units_r3_l4,15,0.6363855787780519,0.06063099980988033,0.20314814814814813,0.04761034605976138
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l2,15,0.6255094920014274,0.047353951254661006,0.14888888888888888,0.038986838099203995
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l4,15,0.6562804245734354,0.056202305667588846,0.21796296296296294,0.05113128388041946
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l8,15,0.699828656508764,0.06189574018561413,0.2809259259259259,0.0734305045377507
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l2,15,0.6331940306805899,0.057196326764253576,0.21759259259259256,0.0457172786473716
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l4,15,0.6516883957340945,0.058597085975825816,0.21648148148148147,0.04836423833045171
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l8,15,0.699277639425489,0.05761381605507125,0.2674074074074074,0.06990717088855887
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l2,15,0.6360234254992319,0.0552711157293513,0.20740740740740737,0.04551590953471209
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l4,15,0.6349576215302022,0.05562432325418922,0.22537037037037036,0.05339576005497002
gaussian_sensory,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l8,15,0.6935212661691156,0.056950263002490335,0.2807407407407407,0.07101890654750752
gaussian_sensory,temporal_cue_then_blank,one_hot,0,memoryless_linear,15,0.6244671562010271,0.04603305617599703,0.11333333333333334,0.03331150078660648
gaussian_sensory,temporal_cue_then_blank,one_hot,0,memoryless_mlp,15,0.6244671562010271,0.04603305617599703,0.11333333333333334,0.03331150078660648
gaussian_sensory,temporal_cue_then_blank,one_hot,0,numpy_rnn,15,0.6352118729538083,0.05123979133572573,0.06055555555555556,0.021167426974637974
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_block_hybrid,15,0.6559043649500639,0.055344939319331606,0.242037037037037,0.056555723606227036
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_diagonal,15,0.7512341993928014,0.03370482225498713,0.2590740740740741,0.0578535742821586
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_low_rank,15,0.6460282807594635,0.04980363421284224,0.20518518518518516,0.04474507013286911
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_nilpotent,15,0.6457003017890115,0.05843700042585628,0.23907407407407402,0.06105484823857343
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_orthogonal,15,0.6568384303868176,0.05568109214745903,0.24314814814814817,0.05837480679028628
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_oscillatory,15,0.6608015640273706,0.047419416027476256,0.22444444444444445,0.05162853460006424
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_random,15,0.621870956104827,0.055114419694140285,0.20203703703703704,0.04814417973063946
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_sparse,15,0.6461685402411209,0.050759534547784556,0.22833333333333333,0.051833802603114584
gaussian_sensory,temporal_cue_then_blank,one_hot,0,reservoir_symmetric,15,0.6790385291729378,0.04366067659855643,0.24185185185185187,0.05230817722559181
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r1_l2,15,0.652461209638629,0.05540601449932818,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r1_l4,15,0.6449723424723425,0.054829324145846084,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r1_l8,15,0.6818230306133531,0.06933020976665907,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r3_l2,15,0.6104889912954429,0.05146630081456821,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r3_l4,15,0.6491208164595261,0.06126982885875005,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r3_l8,15,0.6901463172430914,0.06557580884360036,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r5_l2,15,0.6615770221415382,0.052203403280844156,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r5_l4,15,0.6728574531800339,0.05549113780149207,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_block_r5_l8,15,0.6929612367918819,0.06098688666509802,nan,nan
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_all_units_r3_l4,15,0.6500590518601271,0.053152871771023916,0.20074074074074075,0.04557141505672595
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r1_l2,15,0.6335819472244203,0.051683423816762185,0.16907407407407407,0.03726076606081471
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r1_l4,15,0.6339915669754379,0.05185050561976243,0.20314814814814813,0.045788110338852155
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r1_l8,15,0.6853464302523443,0.05913829980956106,0.2451851851851852,0.06410445956588035
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r3_l2,15,0.6304655037316328,0.05319953500257079,0.20203703703703704,0.04433474115156961
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r3_l4,15,0.6321104348658112,0.05102854617085925,0.19722222222222224,0.04677268129433562
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r3_l8,15,0.6601867109393991,0.056795694134554604,0.2274074074074074,0.05770565978033622
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r5_l2,15,0.6375540414384501,0.05556677099131527,0.1907407407407407,0.04461085468660173
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r5_l4,15,0.6151802394141104,0.056933831448541125,0.20259259259259257,0.04988410043677684
gaussian_sensory,temporal_dropout,embedding,8,lin_sequence_front_bands_r5_l8,15,0.6727111036116413,0.05185849575983923,0.22722222222222221,0.05357940367837511
gaussian_sensory,temporal_dropout,embedding,8,memoryless_linear,15,0.6426986066502195,0.04889719355751288,0.155,0.032821466713854774
gaussian_sensory,temporal_dropout,embedding,8,memoryless_mlp,15,0.6426986066502195,0.04889719355751288,0.155,0.032821466713854774
gaussian_sensory,temporal_dropout,embedding,8,numpy_rnn,15,0.6563887531226239,0.050024318782204695,0.08333333333333333,0.025717224993681988
gaussian_sensory,temporal_dropout,embedding,8,reservoir_block_hybrid,15,0.6184010742344075,0.054165797191446714,0.19018518518518518,0.04073911733177313
gaussian_sensory,temporal_dropout,embedding,8,reservoir_diagonal,15,0.6759857212679792,0.042524714248816355,0.18907407407407406,0.039669477568015726
gaussian_sensory,temporal_dropout,embedding,8,reservoir_low_rank,15,0.6196197510176005,0.051906439079449744,0.18407407407407408,0.03971761236678713
gaussian_sensory,temporal_dropout,embedding,8,reservoir_nilpotent,15,0.6541743794835192,0.057801061186698054,0.20740740740740737,0.05610028358696696
gaussian_sensory,temporal_dropout,embedding,8,reservoir_orthogonal,15,0.6456764909721898,0.05030423633019711,0.21833333333333332,0.0510686791891185
gaussian_sensory,temporal_dropout,embedding,8,reservoir_oscillatory,15,0.6109473576005833,0.05319472840339541,0.17999999999999997,0.039747882709575605
gaussian_sensory,temporal_dropout,embedding,8,reservoir_random,15,0.6388323002167088,0.05164758248100711,0.18629629629629632,0.04458020490982603
gaussian_sensory,temporal_dropout,embedding,8,reservoir_sparse,15,0.6234327271692862,0.051547994747737094,0.17981481481481482,0.03820397107421822
gaussian_sensory,temporal_dropout,embedding,8,reservoir_symmetric,15,0.6478341595680305,0.04861435171951672,0.17037037037037037,0.03970021652142382
gaussian_sensory,temporal_dropout,none,0,lin_block_r1_l2,15,0.6308631243308663,0.050222407236649315,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r1_l4,15,0.5767342782665363,0.05497346676978431,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r1_l8,15,0.6527624555850362,0.06037179627523281,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r3_l2,15,0.6058564523887103,0.047723538958404296,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r3_l4,15,0.6215587518813325,0.05195406634804702,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r3_l8,15,0.6709050567115084,0.06172778439935032,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r5_l2,15,0.6403807273968563,0.05047849497619958,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r5_l4,15,0.6325203455445391,0.0543524440691979,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_block_r5_l8,15,0.6437225170289687,0.06400407098002056,nan,nan
gaussian_sensory,temporal_dropout,none,0,lin_sequence_all_units_r3_l4,15,0.6093545801072683,0.05139651078771376,0.17814814814814814,0.03994582849544783
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r1_l2,15,0.6368543990855818,0.05129744041298127,0.15129629629629632,0.033675347103593774
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r1_l4,15,0.5952894730717311,0.05551535539189217,0.1837037037037037,0.04050756988162916
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r1_l8,15,0.6486704603640088,0.05876544986467527,0.21722222222222218,0.05476970652193172
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r3_l2,15,0.5956311902951688,0.054930077533551926,0.16240740740740742,0.03547969199406512
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r3_l4,15,0.6197099321427278,0.053887030938071234,0.1862962962962963,0.04572836839718712
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r3_l8,15,0.6694127009987224,0.05714574225916047,0.21944444444444444,0.05696557228389775
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r5_l2,15,0.6125292285372931,0.05499483922196629,0.1809259259259259,0.04519851915325184
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r5_l4,15,0.607323846503954,0.05606745004717254,0.17907407407407408,0.041284728016443686
gaussian_sensory,temporal_dropout,none,0,lin_sequence_front_bands_r5_l8,15,0.6223855425737147,0.06112811626752037,0.1848148148148148,0.044832848704351655
gaussian_sensory,temporal_dropout,none,0,memoryless_linear,15,0.6396089155766574,0.0498328003829738,0.14055555555555557,0.04021163150932794
gaussian_sensory,temporal_dropout,none,0,memoryless_mlp,15,0.6396089155766574,0.0498328003829738,0.14055555555555557,0.04021163150932794
gaussian_sensory,temporal_dropout,none,0,numpy_rnn,15,0.6375741865661219,0.0500619420937049,0.06055555555555556,0.02226384989945986
gaussian_sensory,temporal_dropout,none,0,reservoir_block_hybrid,15,0.6000281036168131,0.05342643456971737,0.19407407407407407,0.043385928828386086
gaussian_sensory,temporal_dropout,none,0,reservoir_diagonal,15,0.6580714078832358,0.045532717424777,0.1888888888888889,0.046645245776571184
gaussian_sensory,temporal_dropout,none,0,reservoir_low_rank,15,0.6159932530631455,0.05098178381589344,0.16555555555555557,0.03879031346325145
gaussian_sensory,temporal_dropout,none,0,reservoir_nilpotent,15,0.6179451129316721,0.05599571765176135,0.185,0.04936010284720261
gaussian_sensory,temporal_dropout,none,0,reservoir_orthogonal,15,0.5823702914966357,0.060482248528254304,0.18055555555555552,0.042257712736425826
gaussian_sensory,temporal_dropout,none,0,reservoir_oscillatory,15,0.6120798680610507,0.05259444725731058,0.18240740740740738,0.04337220704680945
gaussian_sensory,temporal_dropout,none,0,reservoir_random,15,0.6110207812895984,0.05471098854866375,0.19296296296296295,0.04377376457670209
gaussian_sensory,temporal_dropout,none,0,reservoir_sparse,15,0.6219189009914816,0.05078618259420478,0.1825925925925926,0.04031809391383716
gaussian_sensory,temporal_dropout,none,0,reservoir_symmetric,15,0.6294388780275876,0.05284853262551525,0.18944444444444444,0.049264281480066334
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r1_l2,15,0.6491278763052956,0.05377390973255068,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r1_l4,15,0.6319294131794131,0.052477131965878235,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r1_l8,15,0.685560404350727,0.06222522984639453,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r3_l2,15,0.6027535338019209,0.05426078668101392,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r3_l4,15,0.6657099217986315,0.05996117922583013,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r3_l8,15,0.6806362007168459,0.06251945832557848,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r5_l2,15,0.6444543747769553,0.052593666836787935,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r5_l4,15,0.6600457726264177,0.05899823215775345,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_block_r5_l8,15,0.6803287289174386,0.0652127725705552,nan,nan
gaussian_sensory,temporal_dropout,one_hot,0,lin_sequence_all_units_r3_l4,15,0.639405983801145,0.053065603264350274,0.19333333333333333,0.041719367024800724
gaussian_sensory,temporal_dropout,one_hot,0,lin_sequence_front_bands_r1_l2,15,0.6515946782210223,0.05164066303914667,0.1785185185185185,0.03975090231383264
