task,obs_mode,temporal_mode,architecture_family,n_models,best_model,best_sequence_r,best_sequence_l,best_action_accuracy_mean,best_action_accuracy_sem,best_context_accuracy_mean
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,independent_lin_block,9,lin_block_r5_l64,5,64,0.7333333333333334,0.003921568627451004,0.7333333333333334
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,memoryless_linear,1,memoryless_linear,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,memoryless_mlp,1,memoryless_mlp,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,numpy_rnn,1,numpy_rnn,,,0.5058823529411764,0.0,0.4901960784313726
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_block_hybrid,1,reservoir_block_hybrid,,,0.4718954248366013,0.007705768707550063,0.49673202614379086
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_diagonal,1,reservoir_diagonal,,,0.5019607843137255,0.0019607843137254832,0.5411764705882354
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_low_rank,1,reservoir_low_rank,,,0.4928104575163399,0.003639061675052301,0.5098039215686274
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_nilpotent,1,reservoir_nilpotent,,,0.46797385620915033,0.004713138922175152,0.45882352941176463
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_orthogonal,1,reservoir_orthogonal,,,0.45490196078431366,0.007594084992563563,0.44313725490196076
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_oscillatory,1,reservoir_oscillatory,,,0.45359477124183,0.009009182190908642,0.46405228758169936
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_random,1,reservoir_random,,,0.49150326797385624,0.0038110796698335252,0.469281045751634
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_sparse,1,reservoir_sparse,,,0.4875816993464053,0.0059185523778675884,0.48758169934640516
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_symmetric,1,reservoir_symmetric,,,0.5045751633986928,0.0013071895424836555,0.5647058823529412
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,shared_lin_sequence,10,lin_sequence_front_bands_r1_l2,1,2,0.5058823529411764,0.0,0.48235294117647065
long_aliased_t_maze,egocentric_landmark,temporal_full,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,egocentric_landmark,temporal_full,independent_lin_block,9,lin_block_r1_l16,1,16,0.7529411764705882,0.0,0.4666666666666666
long_aliased_t_maze,egocentric_landmark,temporal_full,memoryless_linear,1,memoryless_linear,,,0.7529411764705882,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_full,memoryless_mlp,1,memoryless_mlp,,,0.7529411764705882,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_full,numpy_rnn,1,numpy_rnn,,,0.7529411764705882,0.0,0.48235294117647065
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_block_hybrid,1,reservoir_block_hybrid,,,0.807843137254902,0.036314233681278694,0.5124183006535947
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_diagonal,1,reservoir_diagonal,,,0.7803921568627451,0.027450980392156862,0.5686274509803921
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_low_rank,1,reservoir_low_rank,,,0.7803921568627451,0.027450980392156866,0.4836601307189543
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_nilpotent,1,reservoir_nilpotent,,,0.7516339869281046,0.0013071895424836555,0.4562091503267973
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_orthogonal,1,reservoir_orthogonal,,,0.807843137254902,0.05490196078431373,0.41830065359477125
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_oscillatory,1,reservoir_oscillatory,,,0.7803921568627451,0.04948795868283907,0.46405228758169936
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_random,1,reservoir_random,,,0.7803921568627451,0.04948795868283907,0.4457516339869281
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_sparse,1,reservoir_sparse,,,0.7254901960784313,0.027450980392156866,0.48888888888888893
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_symmetric,1,reservoir_symmetric,,,0.807843137254902,0.036314233681278694,0.5228758169934641
long_aliased_t_maze,egocentric_landmark,temporal_full,shared_lin_sequence,10,lin_sequence_all_units_r3_l4,3,4,0.7529411764705882,0.0,0.4836601307189542
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
