task,geometry,behavior_family,obs_mode,temporal_mode,action_input,action_embedding_dim,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,history_linear_h16,,,,,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,history_linear_h4,,,,,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,history_linear_h64,,,,,3,0.6431372549019608,0.06871143320758916,nan,0.0,0.3568627450980392,0.027450980392156862
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r1_l16,1,16,16,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r1_l4,1,4,4,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r1_l64,1,64,64,independent_blocks,3,0.7137254901960784,0.0039215686274509665,nan,0.0,0.3490196078431372,0.01568627450980392
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r3_l16,3,16,18,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5647058823529412,0.0
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r3_l4,3,4,6,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.4980392156862745,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r3_l64,3,64,66,independent_blocks,3,0.7254901960784313,0.0039215686274509665,nan,0.0,0.6980392156862744,0.023853970707051853
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r5_l16,5,16,20,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5647058823529412,0.006792356108113221
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r5_l4,5,4,8,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5176470588235293,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r5_l64,5,64,68,independent_blocks,3,0.7333333333333334,0.003921568627451004,nan,0.0,0.7333333333333334,0.003921568627451004
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,9,0.5019607843137255,0.002772967769359005,nan,0.0,0.4836601307189543,0.003065631215570873
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.4836601307189543,0.0036390616750523064
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,9,0.4980392156862745,0.003921568627450976,nan,0.0,0.48235294117647065,0.00392156862745098
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,9,0.5045751633986928,0.0013071895424836555,nan,0.0,0.4901960784313726,0.003396178054056623
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,9,0.5032679738562091,0.0026143790849673175,nan,0.0,0.47973856209150323,0.002614379084967323
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,9,0.4901960784313726,0.0043844470147054665,nan,0.0,0.48496732026143785,0.00613126243114174
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,9,0.5006535947712418,0.0028489535578697157,nan,0.0,0.4836601307189543,0.003065631215570873
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,9,0.49411764705882355,0.0043844470147054665,nan,0.0,0.4836601307189542,0.005697907115739445
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,9,0.48888888888888893,0.007365638999728523,nan,0.0,0.4862745098039216,0.005545935538718021
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,memoryless_linear,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,memoryless_mlp,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,numpy_rnn,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4901960784313726,0.014139416766525467
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_block_hybrid,,,,all_units,9,0.4718954248366013,0.007705768707550063,nan,0.0,0.49673202614379086,0.007537622610895943
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_diagonal,,,,all_units,9,0.5019607843137255,0.0019607843137254832,nan,0.0,0.5411764705882354,0.013864838846795048
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_low_rank,,,,all_units,9,0.4928104575163399,0.003639061675052301,nan,0.0,0.5098039215686274,0.02688492000157272
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_nilpotent,,,,all_units,9,0.46797385620915033,0.004713138922175152,nan,0.0,0.45882352941176463,0.008768894029410943
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_orthogonal,,,,all_units,9,0.45490196078431366,0.007594084992563563,nan,0.0,0.44313725490196076,0.009403591222181805
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_oscillatory,,,,all_units,9,0.45359477124183,0.009009182190908642,nan,0.0,0.46405228758169936,0.007870323254112613
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_random,,,,all_units,9,0.49150326797385624,0.0038110796698335252,nan,0.0,0.469281045751634,0.008865790827614734
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_sparse,,,,all_units,9,0.4875816993464053,0.0059185523778675884,nan,0.0,0.48758169934640516,0.007099856530196215
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,reservoir_symmetric,,,,all_units,9,0.5045751633986928,0.0013071895424836555,nan,0.0,0.5647058823529412,0.023283023700074346
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,history_linear_h16,,,,,3,0.7529411764705882,0.0,nan,0.0,0.4666666666666666,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,history_linear_h4,,,,,3,0.7529411764705882,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,history_linear_h64,,,,,3,0.7529411764705882,0.0,nan,0.0,0.35294117647058826,0.0179708850782582
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r1_l16,1,16,16,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.4666666666666666,0.010375495337508193
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r1_l4,1,4,4,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r1_l64,1,64,64,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.3450980392156862,0.01960784313725489
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r3_l16,3,16,18,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5647058823529412,0.006792356108113221
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r3_l4,3,4,6,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5019607843137255,0.010375495337508207
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r3_l64,3,64,66,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.6901960784313724,0.027450980392156862
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r5_l16,5,16,20,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5647058823529412,0.006792356108113221
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r5_l4,5,4,8,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.5254901960784313,0.010375495337508197
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_block_r5_l64,5,64,68,independent_blocks,3,0.7529411764705882,0.0,nan,0.0,0.7333333333333334,0.003921568627451004
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,9,0.7529411764705882,0.0,nan,0.0,0.4836601307189542,0.0036390616750523012
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.4784313725490196,0.0033961780540566265
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.003921568627450981
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.47973856209150323,0.002614379084967323
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,9,0.7503267973856209,0.0017292492229180267,nan,0.0,0.47320261437908495,0.0042859075322235355
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.481045751633987,0.0030656312155708724
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,9,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.0027729677693590134
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.48496732026143785,0.0038110796698335296
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,memoryless_linear,,,,,3,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,memoryless_mlp,,,,,3,0.7529411764705882,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,numpy_rnn,,,,,3,0.7529411764705882,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_block_hybrid,,,,all_units,9,0.807843137254902,0.036314233681278694,nan,0.0,0.5124183006535947,0.028624167896023775
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_diagonal,,,,all_units,9,0.7803921568627451,0.027450980392156862,nan,0.0,0.5686274509803921,0.031372549019607836
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_low_rank,,,,all_units,9,0.7803921568627451,0.027450980392156866,nan,0.0,0.4836601307189543,0.038794029416344314
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_nilpotent,,,,all_units,9,0.7516339869281046,0.0013071895424836555,nan,0.0,0.4562091503267973,0.007537622610895946
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_orthogonal,,,,all_units,9,0.807843137254902,0.05490196078431373,nan,0.0,0.41830065359477125,0.030947557128762654
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_oscillatory,,,,all_units,9,0.7803921568627451,0.04948795868283907,nan,0.0,0.46405228758169936,0.005918552377867592
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_random,,,,all_units,9,0.7803921568627451,0.04948795868283907,nan,0.0,0.4457516339869281,0.02589753301458686
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_sparse,,,,all_units,9,0.7254901960784313,0.027450980392156866,nan,0.0,0.48888888888888893,0.008344539434512225
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,one_hot,0,reservoir_symmetric,,,,all_units,9,0.807843137254902,0.036314233681278694,nan,0.0,0.5228758169934641,0.008344539434512223
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,history_linear_h16,,,,,3,0.45098039215686275,0.05490196078431372,nan,0.0,0.4666666666666666,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,history_linear_h4,,,,,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,history_linear_h64,,,,,3,0.7137254901960784,0.0039215686274509665,nan,0.0,0.35294117647058826,0.0179708850782582
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r1_l16,1,16,16,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r1_l4,1,4,4,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r1_l64,1,64,64,independent_blocks,3,0.7137254901960784,0.0039215686274509665,nan,0.0,0.3490196078431372,0.01568627450980392
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r3_l16,3,16,18,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5647058823529412,0.006792356108113221
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r3_l4,3,4,6,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5058823529411764,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r3_l64,3,64,66,independent_blocks,3,0.7215686274509804,0.0039215686274509665,nan,0.0,0.7058823529411765,0.020377068324339758
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r5_l16,5,16,20,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5764705882352942,0.013584712216226473
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r5_l4,5,4,8,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5176470588235293,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_block_r5_l64,5,64,68,independent_blocks,3,0.7333333333333334,0.003921568627451004,nan,0.0,0.7450980392156863,0.0039215686274509665
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,9,0.5006535947712418,0.0028489535578697157,nan,0.0,0.4954248366013072,0.005697907115739447
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,9,0.5032679738562091,0.0026143790849673175,nan,0.0,0.4810457516339869,0.0045751633986928116
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,9,0.5045751633986928,0.0013071895424836555,nan,0.0,0.4901960784313726,0.0027729677693590087
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,9,0.4993464052287582,0.0034584984458360616,nan,0.0,0.4928104575163399,0.004133696287801801
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,9,0.49673202614379086,0.004285907532223527,nan,0.0,0.4875816993464053,0.0044328954138073634
