obs_mode,temporal_mode,action_input,action_embedding_dim,sequence_r,sequence_l,sequence_ell,input_injection,n_tasks,action_accuracy_mean,action_accuracy_sem,behavioral_context_accuracy_mean
egocentric_landmark,temporal_cue_then_blank,one_hot,0,3,4,6,all_units,15,0.6397863814799298,0.055493157719756,0.6533333333333333
egocentric_landmark,temporal_cue_then_blank,one_hot,0,3,4,6,front_bands,15,0.6788644897515865,0.05681773593386271,0.6366666666666667
egocentric_landmark,temporal_dropout,one_hot,0,3,4,6,all_units,15,0.6140201684018888,0.05708510509372335,0.6466666666666667
egocentric_landmark,temporal_dropout,one_hot,0,3,4,6,front_bands,15,0.629017621168159,0.05915843918049717,0.6166666666666667
egocentric_landmark,temporal_full,one_hot,0,3,4,6,all_units,15,0.703662062250772,0.0576439944787677,0.6955555555555556
egocentric_landmark,temporal_full,one_hot,0,3,4,6,front_bands,15,0.7173079230606111,0.054926505929827625,0.6455555555555555
gaussian_sensory,temporal_cue_then_blank,one_hot,0,3,4,6,all_units,15,0.6461477033520043,0.053708156033366664,0.9566666666666667
gaussian_sensory,temporal_cue_then_blank,one_hot,0,3,4,6,front_bands,15,0.6513608499226778,0.0519125889094894,0.9388888888888889
gaussian_sensory,temporal_dropout,one_hot,0,3,4,6,all_units,15,0.6260253973426017,0.05102350327137338,0.8911111111111112
gaussian_sensory,temporal_dropout,one_hot,0,3,4,6,front_bands,15,0.6486863902724117,0.05367702715350015,0.8933333333333333
gaussian_sensory,temporal_full,one_hot,0,3,4,6,all_units,15,0.6707228842443895,0.06355047515150315,0.9255555555555557
gaussian_sensory,temporal_full,one_hot,0,3,4,6,front_bands,15,0.6890941222258428,0.06179207309616293,0.9633333333333333
hybrid,temporal_cue_then_blank,one_hot,0,3,4,6,all_units,15,0.6459637335981422,0.050667628157508186,0.8800000000000001
hybrid,temporal_cue_then_blank,one_hot,0,3,4,6,front_bands,15,0.6630699015242026,0.052187495842726056,0.8522222222222222
hybrid,temporal_dropout,one_hot,0,3,4,6,all_units,15,0.6109229778584617,0.06087792219317233,0.7933333333333332
hybrid,temporal_dropout,one_hot,0,3,4,6,front_bands,15,0.6232981892659312,0.0602277857237436,0.758888888888889
hybrid,temporal_full,one_hot,0,3,4,6,all_units,15,0.6587104596916424,0.057185682527366805,0.9466666666666667
hybrid,temporal_full,one_hot,0,3,4,6,front_bands,15,0.6767181931966878,0.05597443442093911,0.9366666666666668
sparse_aliased,temporal_cue_then_blank,one_hot,0,3,4,6,all_units,15,0.6697354432703894,0.05546641141241975,0.6566666666666666
sparse_aliased,temporal_cue_then_blank,one_hot,0,3,4,6,front_bands,15,0.6804546488955091,0.052152533437330915,0.6444444444444445
sparse_aliased,temporal_dropout,one_hot,0,3,4,6,all_units,15,0.5987801853662069,0.061256531601612645,0.7100000000000001
sparse_aliased,temporal_dropout,one_hot,0,3,4,6,front_bands,15,0.619331797235023,0.05830067527185419,0.6433333333333333
sparse_aliased,temporal_full,one_hot,0,3,4,6,all_units,15,0.6695064766973368,0.057613579450620116,0.6733333333333333
sparse_aliased,temporal_full,one_hot,0,3,4,6,front_bands,15,0.6658276828706936,0.058306272938395895,0.68
vector,temporal_cue_then_blank,one_hot,0,3,4,6,all_units,15,0.6545811804682772,0.05405290761835232,0.8677777777777778
vector,temporal_cue_then_blank,one_hot,0,3,4,6,front_bands,15,0.6641312122763736,0.053679579091543646,0.8355555555555556
vector,temporal_dropout,one_hot,0,3,4,6,all_units,15,0.6166504846209145,0.05807983100842841,0.8322222222222223
vector,temporal_dropout,one_hot,0,3,4,6,front_bands,15,0.6155980245361964,0.05940967198135176,0.7966666666666667
vector,temporal_full,one_hot,0,3,4,6,all_units,15,0.6581027698904042,0.05251175773115964,0.9544444444444444
vector,temporal_full,one_hot,0,3,4,6,front_bands,15,0.6529749491846266,0.05145064421072074,0.9466666666666667
