task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
aliased_loop_rooms,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.4,reservoir_diagonal,0.6,0.19999999999999996
aliased_loop_rooms,egocentric_landmark,temporal_dropout,one_hot,0,0.4,reservoir_oscillatory,0.39999999999999997,-5.551115123125783e-17
aliased_loop_rooms,egocentric_landmark,temporal_full,one_hot,0,0.55,lin_sequence_front_bands_r1_l2,0.5166666666666667,-0.033333333333333326
aliased_loop_rooms,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.45,reservoir_diagonal,0.5499999999999999,0.09999999999999992
aliased_loop_rooms,gaussian_sensory,temporal_dropout,one_hot,0,0.30000000000000004,reservoir_diagonal,0.4333333333333333,0.13333333333333325
aliased_loop_rooms,gaussian_sensory,temporal_full,one_hot,0,0.5,reservoir_diagonal,0.5666666666666665,0.06666666666666654
aliased_loop_rooms,hybrid,temporal_cue_then_blank,one_hot,0,0.45,lin_block_r3_l2,0.55,0.10000000000000003
aliased_loop_rooms,hybrid,temporal_dropout,one_hot,0,0.4,lin_block_r3_l2,0.5,0.09999999999999998
aliased_loop_rooms,hybrid,temporal_full,one_hot,0,0.5,lin_block_r3_l2,0.55,0.050000000000000044
aliased_loop_rooms,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.4,reservoir_diagonal,0.6000000000000001,0.20000000000000007
aliased_loop_rooms,sparse_aliased,temporal_dropout,one_hot,0,0.5,lin_block_r1_l8,0.55,0.050000000000000044
aliased_loop_rooms,sparse_aliased,temporal_full,one_hot,0,0.55,lin_block_r3_l2,0.55,0.0
aliased_loop_rooms,vector,temporal_cue_then_blank,one_hot,0,0.45,lin_block_r3_l2,0.55,0.10000000000000003
aliased_loop_rooms,vector,temporal_dropout,one_hot,0,0.35,lin_block_r5_l4,0.44999999999999996,0.09999999999999998
aliased_loop_rooms,vector,temporal_full,one_hot,0,0.55,lin_block_r3_l2,0.55,0.0
aliased_rooms,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r3_l8,0.8,0.20000000000000007
aliased_rooms,egocentric_landmark,temporal_dropout,one_hot,0,0.5333333333333333,lin_block_r1_l8,0.8333333333333333,0.29999999999999993
aliased_rooms,egocentric_landmark,temporal_full,one_hot,0,0.7333333333333334,lin_sequence_front_bands_r1_l8,0.7888888888888889,0.05555555555555547
