task,geometry,behavior_family,obs_mode,temporal_mode,action_input,action_embedding_dim,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r1_l2,1,2,2,independent_blocks,2,0.5,0.09999999999999998,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r1_l4,1,4,4,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r1_l8,1,8,8,independent_blocks,2,0.5,0.19999999999999998,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r3_l2,3,2,4,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r3_l4,3,4,6,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r3_l8,3,8,10,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r5_l2,5,2,6,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r5_l4,5,4,8,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_block_r5_l8,5,8,12,independent_blocks,2,0.44999999999999996,0.15,nan,0.0,nan,0.0
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.26666666666666666,0.04944132324730443,0.16666666666666666,0.03333333333333333,0.8833333333333333,0.08333333333333334
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.3333333333333333,0.03333333333333334,0.25000000000000006,0.042817441928883766,0.8999999999999999,0.04472135954999579
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.3499999999999999,0.09219544457292887,0.3666666666666667,0.021081851067789207,0.9166666666666666,0.04013864859597432
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.30000000000000004,0.07745966692414834,0.25,0.05627314338711378,0.6333333333333333,0.10852547064066474
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.3166666666666667,0.04772607021092118,0.2833333333333333,0.04772607021092118,0.9,0.03651483716701107
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.25,0.042817441928883766,0.21666666666666667,0.07031674369909661,0.7999999999999999,0.06831300510639733
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.26666666666666666,0.04216370213557839,0.23333333333333336,0.03333333333333333,0.7333333333333333,0.0881917103688197
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.26666666666666666,0.0557773351022717,0.26666666666666666,0.06146362971528592,0.9500000000000001,0.03415650255319866
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.2333333333333333,0.06666666666666668,0.19999999999999998,0.08164965809277261,0.7833333333333333,0.060092521257733164
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.26666666666666666,0.04216370213557839,0.25,0.06191391873668904,0.7333333333333334,0.06146362971528593
aliased_loop_rooms,looped_repeated_rooms,repeated_room_loop,egocentric_landmark,temporal_cue_then_blank,one_hot,0,memoryless_linear,,,,,2,0.4,0.1,0.2,0.09999999999999999,nan,0.0
