environment,observation_mode,mean_next_candidates,max_next_candidates,ambiguous_fraction,weighted_ambiguous_fraction
trace_commute_000,full,1.000000,1.000000,0.000000,0.000000
trace_commute_000,counts,95.551220,210.000000,0.816667,0.993293
trace_commute_000,depth_last,546.833537,729.000000,0.818182,0.998780
trace_commute_000,depth,1640.500000,2187.000000,0.875000,0.999695
trace_commute_033,full,1.000000,1.000000,0.000000,0.000000
trace_commute_033,counts,41.170426,100.000000,0.641667,0.973058
trace_commute_033,depth_last,248.355890,377.000000,0.818182,0.997494
trace_commute_033,depth,714.645363,987.000000,0.875000,0.999373
trace_commute_067,full,1.000000,1.000000,0.000000,0.000000
trace_commute_067,counts,12.896414,35.000000,0.466667,0.872510
trace_commute_067,depth_last,85.047809,127.000000,0.545455,0.980080
trace_commute_067,depth,172.047809,255.000000,0.875000,0.998008
trace_commute_100,full,1.000000,1.000000,0.000000,0.000000
trace_commute_100,counts,1.000000,1.000000,0.000000,0.000000
trace_commute_100,depth_last,14.533333,28.000000,0.545455,0.916667
trace_commute_100,depth,24.100000,36.000000,0.875000,0.991667
