environment,mode,sequence_length,mean,std,n_seeds
torus_lattice,raw,2,1.000000,0.000000,10
torus_lattice,raw,3,1.000000,0.000000,10
torus_lattice,raw,4,1.000000,0.000000,10
torus_lattice,raw,5,1.000000,0.000000,10
torus_lattice,raw,6,1.000000,0.000000,10
torus_lattice,raw,7,1.000000,0.000000,10
torus_lattice,raw,8,1.000000,0.000000,10
torus_lattice,valid_only,2,1.000000,0.000000,10
torus_lattice,valid_only,3,1.000000,0.000000,10
torus_lattice,valid_only,4,1.000000,0.000000,10
torus_lattice,valid_only,5,1.000000,0.000000,10
torus_lattice,valid_only,6,1.000000,0.000000,10
torus_lattice,valid_only,7,1.000000,0.000000,10
torus_lattice,valid_only,8,1.000000,0.000000,10
clamped_lattice,raw,2,0.861497,0.019830,10
clamped_lattice,raw,3,0.823253,0.008259,10
clamped_lattice,raw,4,0.792953,0.010406,10
clamped_lattice,raw,5,0.769376,0.010551,10
clamped_lattice,raw,6,0.740622,0.007690,10
clamped_lattice,raw,7,0.714196,0.008241,10
clamped_lattice,raw,8,0.704542,0.007052,10
clamped_lattice,valid_only,2,1.000000,0.000000,10
clamped_lattice,valid_only,3,1.000000,0.000000,10
clamped_lattice,valid_only,4,1.000000,0.000000,10
clamped_lattice,valid_only,5,1.000000,0.000000,10
clamped_lattice,valid_only,6,1.000000,0.000000,10
clamped_lattice,valid_only,7,1.000000,0.000000,10
clamped_lattice,valid_only,8,1.000000,0.000000,10
bottleneck_rooms,raw,2,0.718352,0.023729,10
bottleneck_rooms,raw,3,0.652576,0.020329,10
bottleneck_rooms,raw,4,0.615242,0.007416,10
bottleneck_rooms,raw,5,0.587529,0.007624,10
bottleneck_rooms,raw,6,0.569985,0.009915,10
bottleneck_rooms,raw,7,0.555650,0.011278,10
bottleneck_rooms,raw,8,0.549290,0.006851,10
bottleneck_rooms,valid_only,2,1.000000,0.000000,10
bottleneck_rooms,valid_only,3,1.000000,0.000000,10
bottleneck_rooms,valid_only,4,1.000000,0.000000,10
bottleneck_rooms,valid_only,5,1.000000,0.000000,10
bottleneck_rooms,valid_only,6,1.000000,0.000000,10
bottleneck_rooms,valid_only,7,1.000000,0.000000,10
bottleneck_rooms,valid_only,8,1.000000,0.000000,10
tree,raw,2,0.389831,0.023226,10
tree,raw,3,0.396740,0.024925,10
tree,raw,4,0.415979,0.017672,10
tree,raw,5,0.428087,0.011373,10
tree,raw,6,0.446927,0.014828,10
tree,raw,7,0.463272,0.010864,10
tree,raw,8,0.472931,0.009908,10
tree,valid_only,2,0.160816,0.020398,10
tree,valid_only,3,0.156202,0.014824,10
tree,valid_only,4,0.121756,0.011488,10
tree,valid_only,5,nan,0.000000,10
tree,valid_only,6,nan,0.000000,10
tree,valid_only,7,nan,0.000000,10
tree,valid_only,8,nan,0.000000,10
shortcut_tree_025,raw,2,0.688871,0.027708,10
shortcut_tree_025,raw,3,0.646768,0.026011,10
shortcut_tree_025,raw,4,0.630498,0.017205,10
shortcut_tree_025,raw,5,0.610237,0.015069,10
shortcut_tree_025,raw,6,0.599418,0.017987,10
shortcut_tree_025,raw,7,0.598121,0.014200,10
shortcut_tree_025,raw,8,0.589833,0.009706,10
shortcut_tree_025,valid_only,2,0.140957,0.025218,10
shortcut_tree_025,valid_only,3,0.156707,0.022395,10
shortcut_tree_025,valid_only,4,0.133390,0.026455,10
shortcut_tree_025,valid_only,5,nan,0.000000,10
shortcut_tree_025,valid_only,6,nan,0.000000,10
shortcut_tree_025,valid_only,7,nan,0.000000,10
shortcut_tree_025,valid_only,8,nan,0.000000,10
shortcut_tree_050,raw,2,0.632169,0.028182,10
shortcut_tree_050,raw,3,0.600579,0.028814,10
shortcut_tree_050,raw,4,0.588992,0.013827,10
shortcut_tree_050,raw,5,0.570762,0.014958,10
shortcut_tree_050,raw,6,0.554653,0.017231,10
shortcut_tree_050,raw,7,0.554779,0.015746,10
shortcut_tree_050,raw,8,0.547407,0.009680,10
shortcut_tree_050,valid_only,2,0.151948,0.024251,10
shortcut_tree_050,valid_only,3,0.171948,0.022625,10
shortcut_tree_050,valid_only,4,0.141867,0.021086,10
shortcut_tree_050,valid_only,5,nan,0.000000,10
shortcut_tree_050,valid_only,6,nan,0.000000,10
shortcut_tree_050,valid_only,7,nan,0.000000,10
shortcut_tree_050,valid_only,8,nan,0.000000,10
shortcut_tree_100,raw,2,0.539006,0.035674,10
shortcut_tree_100,raw,3,0.523446,0.027032,10
shortcut_tree_100,raw,4,0.511145,0.013698,10
shortcut_tree_100,raw,5,0.495417,0.016864,10
shortcut_tree_100,raw,6,0.483539,0.019709,10
shortcut_tree_100,raw,7,0.480156,0.015699,10
shortcut_tree_100,raw,8,0.465081,0.011606,10
shortcut_tree_100,valid_only,2,0.162844,0.017573,10
shortcut_tree_100,valid_only,3,0.169204,0.018317,10
shortcut_tree_100,valid_only,4,0.137401,0.011572,10
shortcut_tree_100,valid_only,5,nan,0.000000,10
