delay,cue_visibility,model,memory_span,state_dim,n_runs,action_accuracy_mean,action_accuracy_sem
4,cue_gap,history_h16,16,192,2,1.0,0.0
4,cue_gap,history_h32,32,384,2,1.0,0.0
4,cue_gap,history_h4,4,48,2,1.0,0.0
4,cue_gap,history_h64,64,768,2,1.0,0.0
4,cue_gap,history_h80,80,960,2,1.0,0.0
4,cue_gap,lin_block_r3_l16,16,216,2,1.0,0.0
4,cue_gap,lin_block_r3_l32,32,408,2,1.0,0.0
4,cue_gap,lin_block_r3_l4,4,72,2,1.0,0.0
4,cue_gap,lin_block_r3_l64,64,792,2,1.0,0.0
4,cue_gap,lin_block_r3_l80,80,984,2,1.0,0.0
4,cue_gap,memoryless_linear,,12,2,0.5,0.0
4,cue_gap,numpy_rnn_h128,,128,2,0.5,0.0
4,cue_gap,numpy_rnn_h32,,32,2,0.5,0.0
4,cue_gap,reservoir_nilpotent_h128,,128,2,1.0,0.0
4,cue_gap,reservoir_nilpotent_h32,,32,2,1.0,0.0
4,visible_state,memoryless_linear,,26,2,1.0,0.0
16,cue_gap,history_h16,16,192,2,1.0,0.0
16,cue_gap,history_h32,32,384,2,1.0,0.0
16,cue_gap,history_h4,4,48,2,0.5294117647058824,0.0
16,cue_gap,history_h64,64,768,2,1.0,0.0
16,cue_gap,history_h80,80,960,2,1.0,0.0
16,cue_gap,lin_block_r3_l16,16,216,2,1.0,0.0
16,cue_gap,lin_block_r3_l32,32,408,2,1.0,0.0
16,cue_gap,lin_block_r3_l4,4,72,2,0.5294117647058824,0.0
16,cue_gap,lin_block_r3_l64,64,792,2,1.0,0.0
16,cue_gap,lin_block_r3_l80,80,984,2,1.0,0.0
16,cue_gap,memoryless_linear,,12,2,0.5294117647058824,0.0
16,cue_gap,numpy_rnn_h128,,128,2,0.5,0.02941176470588236
16,cue_gap,numpy_rnn_h32,,32,2,0.5294117647058824,0.0
16,cue_gap,reservoir_nilpotent_h128,,128,2,0.9117647058823529,0.02941176470588236
16,cue_gap,reservoir_nilpotent_h32,,32,2,0.7352941176470589,0.08823529411764702
16,visible_state,memoryless_linear,,74,2,1.0,0.0
32,cue_gap,history_h16,16,192,2,0.527027027027027,0.013513513513513542
32,cue_gap,history_h32,32,384,2,1.0,0.0
32,cue_gap,history_h4,4,48,2,0.5135135135135135,0.0
32,cue_gap,history_h64,64,768,2,1.0,0.0
32,cue_gap,history_h80,80,960,2,1.0,0.0
32,cue_gap,lin_block_r3_l16,16,216,2,0.5810810810810811,0.04054054054054051
32,cue_gap,lin_block_r3_l32,32,408,2,1.0,0.0
32,cue_gap,lin_block_r3_l4,4,72,2,0.5135135135135135,0.0
32,cue_gap,lin_block_r3_l64,64,792,2,1.0,0.0
32,cue_gap,lin_block_r3_l80,80,984,2,1.0,0.0
32,cue_gap,memoryless_linear,,12,2,0.5135135135135135,0.0
32,cue_gap,numpy_rnn_h128,,128,2,0.5135135135135135,0.0
32,cue_gap,numpy_rnn_h32,,32,2,0.3918918918918919,0.1216216216216216
32,cue_gap,reservoir_nilpotent_h128,,128,2,0.7567567567567568,0.0
32,cue_gap,reservoir_nilpotent_h32,,32,2,0.6486486486486487,0.08108108108108107
32,visible_state,memoryless_linear,,138,2,1.0,0.0
64,cue_gap,history_h16,16,192,2,0.5,0.0
64,cue_gap,history_h32,32,384,2,0.513157894736842,0.013157894736842089
64,cue_gap,history_h4,4,48,2,0.5,0.0
64,cue_gap,history_h64,64,768,2,1.0,0.0
64,cue_gap,history_h80,80,960,2,1.0,0.0
64,cue_gap,lin_block_r3_l16,16,216,2,0.5,0.0
64,cue_gap,lin_block_r3_l32,32,408,2,0.5197368421052632,0.006578947368421018
64,cue_gap,lin_block_r3_l4,4,72,2,0.5,0.0
64,cue_gap,lin_block_r3_l64,64,792,2,0.993421052631579,0.006578947368421072
64,cue_gap,lin_block_r3_l80,80,984,2,1.0,0.0
64,cue_gap,memoryless_linear,,12,2,0.5,0.0
64,cue_gap,numpy_rnn_h128,,128,2,0.5,0.0
64,cue_gap,numpy_rnn_h32,,32,2,0.5,0.0
64,cue_gap,reservoir_nilpotent_h128,,128,2,0.7763157894736843,0.013157894736842089
64,cue_gap,reservoir_nilpotent_h32,,32,2,0.4276315789473684,0.006578947368421072
64,visible_state,memoryless_linear,,266,2,1.0,0.0
80,cue_gap,history_h16,16,192,2,0.49473684210526314,0.0
80,cue_gap,history_h32,32,384,2,0.4631578947368421,0.03157894736842104
80,cue_gap,history_h4,4,48,2,0.49473684210526314,0.0
80,cue_gap,history_h64,64,768,2,0.6473684210526316,0.005263157894736858
80,cue_gap,history_h80,80,960,2,1.0,0.0
80,cue_gap,lin_block_r3_l16,16,216,2,0.49473684210526314,0.0
80,cue_gap,lin_block_r3_l32,32,408,2,0.49473684210526314,0.0
80,cue_gap,lin_block_r3_l4,4,72,2,0.49473684210526314,0.0
80,cue_gap,lin_block_r3_l64,64,792,2,0.6631578947368422,0.010526315789473661
80,cue_gap,lin_block_r3_l80,80,984,2,0.9947368421052631,0.005263157894736858
80,cue_gap,memoryless_linear,,12,2,0.49473684210526314,0.0
80,cue_gap,numpy_rnn_h128,,128,2,0.49473684210526314,0.0
80,cue_gap,numpy_rnn_h32,,32,2,0.49473684210526314,0.0
80,cue_gap,reservoir_nilpotent_h128,,128,2,0.42105263157894735,0.01052631578947369
80,cue_gap,reservoir_nilpotent_h32,,32,2,0.45263157894736844,0.0
80,visible_state,memoryless_linear,,330,2,1.0,0.0
