environment,observation_mode,n_states,n_observations,mean_candidates,max_candidates,normalized_ambiguity,retained_entropy_fraction
trace_commute_000,full,9841.000000,9841.000000,1.000000,1.000000,0.000000,1.000000
trace_commute_000,counts,9841.000000,165.000000,251.109338,560.000000,0.025418,0.446872
trace_commute_000,depth_last,9841.000000,25.000000,1640.333401,2187.000000,0.166599,0.223260
trace_commute_000,depth,9841.000000,9.000000,4921.000000,6561.000000,0.500000,0.103784
trace_commute_033,full,4180.000000,4180.000000,1.000000,1.000000,0.000000,1.000000
trace_commute_033,counts,4180.000000,165.000000,93.937799,225.000000,0.022239,0.503559
trace_commute_033,depth_last,4180.000000,25.000000,649.955502,987.000000,0.155290,0.257820
trace_commute_033,depth,4180.000000,9.000000,1870.246411,2584.000000,0.447295,0.128797
trace_commute_067,full,1013.000000,1013.000000,1.000000,1.000000,0.000000,1.000000
trace_commute_067,counts,1013.000000,165.000000,23.742349,70.000000,0.022473,0.618994
trace_commute_067,depth_last,1013.000000,25.000000,170.528134,255.000000,0.167518,0.300137
trace_commute_067,depth,1013.000000,9.000000,343.029615,511.000000,0.337974,0.195505
trace_commute_100,full,165.000000,165.000000,1.000000,1.000000,0.000000,1.000000
trace_commute_100,counts,165.000000,165.000000,1.000000,1.000000,0.000000,1.000000
trace_commute_100,depth_last,165.000000,25.000000,18.818182,36.000000,0.108647,0.497652
trace_commute_100,depth,165.000000,9.000000,29.800000,45.000000,0.175610,0.364690
