environment,mode,action_a,action_b,score
torus_lattice,raw,N,N,1.000000
torus_lattice,raw,N,S,1.000000
torus_lattice,raw,N,E,1.000000
torus_lattice,raw,N,W,1.000000
torus_lattice,raw,S,N,1.000000
torus_lattice,raw,S,S,1.000000
torus_lattice,raw,S,E,1.000000
torus_lattice,raw,S,W,1.000000
torus_lattice,raw,E,N,1.000000
torus_lattice,raw,E,S,1.000000
torus_lattice,raw,E,E,1.000000
torus_lattice,raw,E,W,1.000000
torus_lattice,raw,W,N,1.000000
torus_lattice,raw,W,S,1.000000
torus_lattice,raw,W,E,1.000000
torus_lattice,raw,W,W,1.000000
torus_lattice,valid_only,N,N,1.000000
torus_lattice,valid_only,N,S,1.000000
torus_lattice,valid_only,N,E,1.000000
torus_lattice,valid_only,N,W,1.000000
torus_lattice,valid_only,S,N,1.000000
torus_lattice,valid_only,S,S,1.000000
torus_lattice,valid_only,S,E,1.000000
torus_lattice,valid_only,S,W,1.000000
torus_lattice,valid_only,E,N,1.000000
torus_lattice,valid_only,E,S,1.000000
torus_lattice,valid_only,E,E,1.000000
torus_lattice,valid_only,E,W,1.000000
torus_lattice,valid_only,W,N,1.000000
torus_lattice,valid_only,W,S,1.000000
torus_lattice,valid_only,W,E,1.000000
torus_lattice,valid_only,W,W,1.000000
clamped_lattice,raw,N,N,1.000000
clamped_lattice,raw,N,S,0.600000
clamped_lattice,raw,N,E,1.000000
clamped_lattice,raw,N,W,1.000000
clamped_lattice,raw,S,N,0.600000
clamped_lattice,raw,S,S,1.000000
clamped_lattice,raw,S,E,1.000000
clamped_lattice,raw,S,W,1.000000
clamped_lattice,raw,E,N,1.000000
clamped_lattice,raw,E,S,1.000000
clamped_lattice,raw,E,E,1.000000
clamped_lattice,raw,E,W,0.600000
clamped_lattice,raw,W,N,1.000000
clamped_lattice,raw,W,S,1.000000
clamped_lattice,raw,W,E,0.600000
clamped_lattice,raw,W,W,1.000000
clamped_lattice,valid_only,N,N,1.000000
clamped_lattice,valid_only,N,S,1.000000
clamped_lattice,valid_only,N,E,1.000000
clamped_lattice,valid_only,N,W,1.000000
clamped_lattice,valid_only,S,N,1.000000
clamped_lattice,valid_only,S,S,1.000000
clamped_lattice,valid_only,S,E,1.000000
clamped_lattice,valid_only,S,W,1.000000
clamped_lattice,valid_only,E,N,1.000000
clamped_lattice,valid_only,E,S,1.000000
clamped_lattice,valid_only,E,E,1.000000
clamped_lattice,valid_only,E,W,1.000000
clamped_lattice,valid_only,W,N,1.000000
clamped_lattice,valid_only,W,S,1.000000
clamped_lattice,valid_only,W,E,1.000000
clamped_lattice,valid_only,W,W,1.000000
bottleneck_rooms,raw,N,N,1.000000
bottleneck_rooms,raw,N,S,0.333333
bottleneck_rooms,raw,N,E,0.888889
bottleneck_rooms,raw,N,W,0.888889
bottleneck_rooms,raw,S,N,0.333333
bottleneck_rooms,raw,S,S,1.000000
bottleneck_rooms,raw,S,E,0.888889
bottleneck_rooms,raw,S,W,0.888889
bottleneck_rooms,raw,E,N,0.888889
bottleneck_rooms,raw,E,S,0.888889
bottleneck_rooms,raw,E,E,1.000000
bottleneck_rooms,raw,E,W,0.444444
bottleneck_rooms,raw,W,N,0.888889
bottleneck_rooms,raw,W,S,0.888889
bottleneck_rooms,raw,W,E,0.444444
bottleneck_rooms,raw,W,W,1.000000
bottleneck_rooms,valid_only,N,N,1.000000
bottleneck_rooms,valid_only,N,S,1.000000
bottleneck_rooms,valid_only,N,E,1.000000
bottleneck_rooms,valid_only,N,W,1.000000
bottleneck_rooms,valid_only,S,N,1.000000
bottleneck_rooms,valid_only,S,S,1.000000
bottleneck_rooms,valid_only,S,E,1.000000
bottleneck_rooms,valid_only,S,W,1.000000
bottleneck_rooms,valid_only,E,N,1.000000
bottleneck_rooms,valid_only,E,S,1.000000
bottleneck_rooms,valid_only,E,E,1.000000
bottleneck_rooms,valid_only,E,W,1.000000
bottleneck_rooms,valid_only,W,N,1.000000
bottleneck_rooms,valid_only,W,S,1.000000
bottleneck_rooms,valid_only,W,E,1.000000
bottleneck_rooms,valid_only,W,W,1.000000
tree,raw,C0,C0,1.000000
tree,raw,C0,C1,0.669421
tree,raw,C0,C2,0.669421
tree,raw,C0,U,0.107438
tree,raw,C1,C0,0.669421
tree,raw,C1,C1,1.000000
tree,raw,C1,C2,0.669421
tree,raw,C1,U,0.107438
tree,raw,C2,C0,0.669421
tree,raw,C2,C1,0.669421
tree,raw,C2,C2,1.000000
tree,raw,C2,U,0.107438
tree,raw,U,C0,0.107438
tree,raw,U,C1,0.107438
tree,raw,U,C2,0.107438
tree,raw,U,U,1.000000
tree,valid_only,C0,C0,1.000000
tree,valid_only,C0,C1,0.000000
tree,valid_only,C0,C2,0.000000
tree,valid_only,C0,U,0.333333
tree,valid_only,C1,C0,0.000000
tree,valid_only,C1,C1,1.000000
tree,valid_only,C1,C2,0.000000
tree,valid_only,C1,U,0.333333
tree,valid_only,C2,C0,0.000000
tree,valid_only,C2,C1,0.000000
tree,valid_only,C2,C2,1.000000
tree,valid_only,C2,U,0.333333
tree,valid_only,U,C0,0.333333
tree,valid_only,U,C1,0.333333
tree,valid_only,U,C2,0.333333
tree,valid_only,U,U,1.000000
shortcut_tree_025,raw,C0,C0,1.000000
shortcut_tree_025,raw,C0,C1,0.669421
shortcut_tree_025,raw,C0,C2,0.669421
shortcut_tree_025,raw,C0,U,0.107438
shortcut_tree_025,raw,C0,L,0.917355
shortcut_tree_025,raw,C0,R,0.900826
shortcut_tree_025,raw,C1,C0,0.669421
shortcut_tree_025,raw,C1,C1,1.000000
shortcut_tree_025,raw,C1,C2,0.669421
shortcut_tree_025,raw,C1,U,0.107438
shortcut_tree_025,raw,C1,L,0.884298
shortcut_tree_025,raw,C1,R,0.917355
shortcut_tree_025,raw,C2,C0,0.669421
shortcut_tree_025,raw,C2,C1,0.669421
shortcut_tree_025,raw,C2,C2,1.000000
shortcut_tree_025,raw,C2,U,0.107438
shortcut_tree_025,raw,C2,L,0.892562
shortcut_tree_025,raw,C2,R,0.917355
shortcut_tree_025,raw,U,C0,0.107438
shortcut_tree_025,raw,U,C1,0.107438
shortcut_tree_025,raw,U,C2,0.107438
shortcut_tree_025,raw,U,U,1.000000
shortcut_tree_025,raw,U,L,0.818182
shortcut_tree_025,raw,U,R,0.818182
shortcut_tree_025,raw,L,C0,0.917355
shortcut_tree_025,raw,L,C1,0.884298
shortcut_tree_025,raw,L,C2,0.892562
shortcut_tree_025,raw,L,U,0.818182
shortcut_tree_025,raw,L,L,1.000000
shortcut_tree_025,raw,L,R,0.933884
shortcut_tree_025,raw,R,C0,0.900826
shortcut_tree_025,raw,R,C1,0.917355
shortcut_tree_025,raw,R,C2,0.917355
shortcut_tree_025,raw,R,U,0.818182
shortcut_tree_025,raw,R,L,0.933884
shortcut_tree_025,raw,R,R,1.000000
shortcut_tree_025,valid_only,C0,C0,1.000000
shortcut_tree_025,valid_only,C0,C1,0.000000
shortcut_tree_025,valid_only,C0,C2,0.000000
shortcut_tree_025,valid_only,C0,U,0.333333
shortcut_tree_025,valid_only,C0,L,0.000000
shortcut_tree_025,valid_only,C0,R,0.000000
shortcut_tree_025,valid_only,C1,C0,0.000000
shortcut_tree_025,valid_only,C1,C1,1.000000
shortcut_tree_025,valid_only,C1,C2,0.000000
shortcut_tree_025,valid_only,C1,U,0.333333
shortcut_tree_025,valid_only,C1,L,0.000000
shortcut_tree_025,valid_only,C1,R,0.000000
shortcut_tree_025,valid_only,C2,C0,0.000000
shortcut_tree_025,valid_only,C2,C1,0.000000
shortcut_tree_025,valid_only,C2,C2,1.000000
shortcut_tree_025,valid_only,C2,U,0.333333
shortcut_tree_025,valid_only,C2,L,0.000000
shortcut_tree_025,valid_only,C2,R,0.000000
shortcut_tree_025,valid_only,U,C0,0.333333
shortcut_tree_025,valid_only,U,C1,0.333333
shortcut_tree_025,valid_only,U,C2,0.333333
shortcut_tree_025,valid_only,U,U,1.000000
shortcut_tree_025,valid_only,U,L,0.347826
shortcut_tree_025,valid_only,U,R,0.285714
shortcut_tree_025,valid_only,L,C0,0.000000
shortcut_tree_025,valid_only,L,C1,0.000000
shortcut_tree_025,valid_only,L,C2,0.000000
shortcut_tree_025,valid_only,L,U,0.347826
shortcut_tree_025,valid_only,L,L,1.000000
shortcut_tree_025,valid_only,L,R,1.000000
shortcut_tree_025,valid_only,R,C0,0.000000
shortcut_tree_025,valid_only,R,C1,0.000000
shortcut_tree_025,valid_only,R,C2,0.000000
shortcut_tree_025,valid_only,R,U,0.285714
shortcut_tree_025,valid_only,R,L,1.000000
shortcut_tree_025,valid_only,R,R,1.000000
shortcut_tree_050,raw,C0,C0,1.000000
shortcut_tree_050,raw,C0,C1,0.669421
shortcut_tree_050,raw,C0,C2,0.669421
shortcut_tree_050,raw,C0,U,0.107438
shortcut_tree_050,raw,C0,L,0.834711
shortcut_tree_050,raw,C0,R,0.818182
shortcut_tree_050,raw,C1,C0,0.669421
shortcut_tree_050,raw,C1,C1,1.000000
shortcut_tree_050,raw,C1,C2,0.669421
shortcut_tree_050,raw,C1,U,0.107438
shortcut_tree_050,raw,C1,L,0.801653
shortcut_tree_050,raw,C1,R,0.818182
shortcut_tree_050,raw,C2,C0,0.669421
shortcut_tree_050,raw,C2,C1,0.669421
