task,obs_mode,temporal_mode,architecture_family,n_models,best_model,best_sequence_r,best_sequence_l,best_action_accuracy_mean,best_action_accuracy_sem,best_context_accuracy_mean
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,independent_lin_block,9,lin_block_r5_l64,5,64,0.7333333333333334,0.003921568627451004,0.7294117647058824
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,memoryless_linear,1,memoryless_linear,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,memoryless_mlp,1,memoryless_mlp,,,0.5058823529411764,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,numpy_rnn,1,numpy_rnn,,,0.5058823529411764,0.0,0.48235294117647065
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_block_hybrid,1,reservoir_block_hybrid,,,0.47581699346405226,0.007099856530196218,0.48758169934640516
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_diagonal,1,reservoir_diagonal,,,0.5045751633986928,0.0013071895424836555,0.6000000000000001
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_low_rank,1,reservoir_low_rank,,,0.49150326797385613,0.006437161961958238,0.4901960784313726
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_nilpotent,1,reservoir_nilpotent,,,0.4666666666666667,0.009196893646712606,0.44705882352941173
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_orthogonal,1,reservoir_orthogonal,,,0.44313725490196076,0.009196893646712606,0.4666666666666667
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_oscillatory,1,reservoir_oscillatory,,,0.45228758169934646,0.009009182190908642,0.46143790849673205
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_random,1,reservoir_random,,,0.48496732026143785,0.0072781233501046025,0.4875816993464053
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_sparse,1,reservoir_sparse,,,0.4836601307189543,0.0056979071157394435,0.5045751633986928
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,reservoir_symmetric,1,reservoir_symmetric,,,0.4954248366013072,0.0036390616750522973,0.5215686274509803
long_aliased_t_maze,egocentric_landmark,temporal_cue_then_blank,shared_lin_sequence,10,lin_sequence_front_bands_r1_l2,1,2,0.5058823529411764,0.0,0.48235294117647065
long_aliased_t_maze,egocentric_landmark,temporal_full,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,egocentric_landmark,temporal_full,independent_lin_block,9,lin_block_r1_l16,1,16,0.7529411764705882,0.0,0.46274509803921565
long_aliased_t_maze,egocentric_landmark,temporal_full,memoryless_linear,1,memoryless_linear,,,0.7529411764705882,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_full,memoryless_mlp,1,memoryless_mlp,,,0.7529411764705882,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_full,numpy_rnn,1,numpy_rnn,,,0.7529411764705882,0.0,0.4862745098039216
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_block_hybrid,1,reservoir_block_hybrid,,,0.807843137254902,0.036314233681278694,0.4836601307189542
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_diagonal,1,reservoir_diagonal,,,0.807843137254902,0.036314233681278694,0.530718954248366
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_low_rank,1,reservoir_low_rank,,,0.7790849673202614,0.026143790849673207,0.5163398692810458
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_nilpotent,1,reservoir_nilpotent,,,0.7529411764705882,0.0,0.47058823529411764
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_orthogonal,1,reservoir_orthogonal,,,0.7254901960784313,0.027450980392156866,0.4457516339869281
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_oscillatory,1,reservoir_oscillatory,,,0.7803921568627451,0.06437825552698825,0.4718954248366013
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_random,1,reservoir_random,,,0.807843137254902,0.036314233681278694,0.4784313725490196
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_sparse,1,reservoir_sparse,,,0.7529411764705882,0.041176470588235294,0.47973856209150323
long_aliased_t_maze,egocentric_landmark,temporal_full,reservoir_symmetric,1,reservoir_symmetric,,,0.7529411764705882,0.0,0.5215686274509803
long_aliased_t_maze,egocentric_landmark,temporal_full,shared_lin_sequence,10,lin_sequence_all_units_r3_l4,3,4,0.7529411764705882,0.0,0.48496732026143796
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,explicit_observed_history,4,history_linear_h80,,,1.0,0.0,0.5803921568627451
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,independent_lin_block,9,lin_block_r5_l64,5,64,0.7294117647058824,0.006792356108113253,0.7411764705882353
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,memoryless_linear,1,memoryless_linear,,,0.5058823529411764,0.0,0.4901960784313726
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,memoryless_mlp,1,memoryless_mlp,,,0.5058823529411764,0.0,0.4901960784313726
long_aliased_t_maze,sparse_aliased,temporal_cue_then_blank,numpy_rnn,1,numpy_rnn,,,0.5058823529411764,0.0,0.4862745098039216
