task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,history_linear_h16,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4666666666666666,0.010375495337508193
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,history_linear_h4,,,,,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,history_linear_h64,,,,,3,0.6901960784313724,0.0039215686274509665,nan,0.0,0.3490196078431372,0.01568627450980392
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r1_l16,1,16,16,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r1_l4,1,4,4,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r1_l64,1,64,64,independent_blocks,3,0.6980392156862744,0.003921568627451004,nan,0.0,0.3450980392156862,0.01960784313725489
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r3_l16,3,16,18,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5568627450980392,0.0039215686274509665
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r3_l4,3,4,6,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.4980392156862745,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r3_l64,3,64,66,independent_blocks,3,0.7215686274509804,0.0039215686274509665,nan,0.0,0.6980392156862746,0.027450980392156862
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r5_l16,5,16,20,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5529411764705882,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r5_l4,5,4,8,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5137254901960784,0.003921568627451004
