obs_mode,temporal_mode,sequence_r,sequence_l,sequence_ell,input_injection,n_tasks,action_accuracy_mean,action_accuracy_sem,behavioral_context_accuracy_mean
egocentric_landmark,temporal_cue_then_blank,3,4,6,all_units,11,0.5498815073815074,0.06774091104966379,0.4144444444444444
egocentric_landmark,temporal_cue_then_blank,3,4,6,front_bands,11,0.5785494366744367,0.07179506987980196,0.42000000000000004
egocentric_landmark,temporal_dropout,3,4,6,all_units,11,0.5737884337884338,0.055072817938295875,0.5255555555555556
egocentric_landmark,temporal_dropout,3,4,6,front_bands,11,0.5536322011322011,0.06497553565609351,0.5333333333333333
egocentric_landmark,temporal_full,3,4,6,all_units,11,0.7132842851592852,0.07698400252661611,0.5122222222222222
egocentric_landmark,temporal_full,3,4,6,front_bands,11,0.7165155677655678,0.07622275789830278,0.45111111111111113
hybrid,temporal_cue_then_blank,3,4,6,all_units,11,0.5660595654345655,0.059640237359936184,0.7444444444444444
hybrid,temporal_cue_then_blank,3,4,6,front_bands,11,0.5714742202242202,0.06010992176206502,0.73
hybrid,temporal_dropout,3,4,6,all_units,11,0.5173540348540349,0.053634068327981683,0.6066666666666667
hybrid,temporal_dropout,3,4,6,front_bands,11,0.5246597846597847,0.056592875310982976,0.6022222222222222
hybrid,temporal_full,3,4,6,all_units,11,0.6475400294150294,0.07087669004505694,0.9544444444444444
hybrid,temporal_full,3,4,6,front_bands,11,0.6951782245532245,0.06937844374324287,0.9011111111111111
sparse_aliased,temporal_cue_then_blank,3,4,6,all_units,11,0.5183392995892996,0.06370506068147909,0.48777777777777775
sparse_aliased,temporal_cue_then_blank,3,4,6,front_bands,11,0.5284854034854034,0.06772706311666657,0.4533333333333333
sparse_aliased,temporal_dropout,3,4,6,all_units,11,0.504192821067821,0.05643949391955578,0.4688888888888888
sparse_aliased,temporal_dropout,3,4,6,front_bands,11,0.5233309745809746,0.057577733756506724,0.4655555555555556
sparse_aliased,temporal_full,3,4,6,all_units,11,0.6425214368964369,0.07287103614640658,0.5011111111111111
sparse_aliased,temporal_full,3,4,6,front_bands,11,0.6831329087579089,0.07447517960326991,0.4488888888888889
vector,temporal_cue_then_blank,3,4,6,all_units,11,0.5607157425907426,0.05653809131406174,0.7655555555555555
vector,temporal_cue_then_blank,3,4,6,front_bands,11,0.5788154900654902,0.05942544391412045,0.7977777777777778
vector,temporal_dropout,3,4,6,all_units,11,0.5339242701742702,0.051158790304659654,0.7811111111111112
vector,temporal_dropout,3,4,6,front_bands,11,0.5375353812853814,0.05472895157932822,0.7511111111111111
vector,temporal_full,3,4,6,all_units,11,0.6732332251082251,0.06472438301742413,0.9522222222222222
vector,temporal_full,3,4,6,front_bands,11,0.7066789460539461,0.0675617865250107,0.9577777777777777
