obs_mode,temporal_mode,n_tasks,memory_advantage_mean,memory_advantage_sem,positive_task_count,best_task,best_recurrent_model,best_task_advantage
egocentric_landmark,temporal_cue_then_blank,11,0.2404169441669442,0.05337578432497801,10,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.6666666666666667
egocentric_landmark,temporal_dropout,11,0.1283929958929959,0.03476937460919274,8,shortcut_route_choice,lin_sequence_front_bands_r5_l4,0.3666666666666667
egocentric_landmark,temporal_full,11,0.1057604201354201,0.02572839437737466,8,shortcut_route_choice,lin_sequence_front_bands_r1_l8,0.19999999999999996
hybrid,temporal_cue_then_blank,11,0.2540137640137641,0.06841006986266503,10,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.75
hybrid,temporal_dropout,11,0.16542207792207791,0.03382862813461754,10,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.36111111111111116
hybrid,temporal_full,11,0.12687895437895438,0.0419668182684236,7,landmark_gap_detour,lin_sequence_front_bands_r3_l8,0.38888888888888906
sparse_aliased,temporal_cue_then_blank,11,0.24335012210012213,0.0535249104830747,11,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.6666666666666667
sparse_aliased,temporal_dropout,11,0.12986832611832613,0.025354121043177698,10,landmark_gap_detour,lin_sequence_front_bands_r3_l8,0.2777777777777778
sparse_aliased,temporal_full,11,0.19069715007215005,0.04393321833037905,9,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.5
vector,temporal_cue_then_blank,11,0.22985236985236987,0.07436548101020449,9,landmark_gap_detour,lin_sequence_front_bands_r3_l8,0.75
vector,temporal_dropout,11,0.16859015984015982,0.05034925741180007,9,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.47222222222222215
vector,temporal_full,11,0.2533766233766234,0.062255120381044006,10,landmark_gap_detour,lin_sequence_front_bands_r1_l8,0.6666666666666667
