environment,action_count,depth,relation_density,relation_id,effective_commutativity,model,architecture,history_len,memory_cost,optimal_action_accuracy,selected_at_095,selected_memory_cost,selected_model
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,memoryless_counts,vector_counts,0,3,0.6229166666666667,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,history_counts_h1,sequence_counts_history,1,3,0.6229166666666667,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9979166666666667,True,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,history_counts_h2,sequence_counts_history,2,6,0.9979166666666667,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,history_counts_h4,sequence_counts_history,4,12,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,history_counts_h8,sequence_counts_history,8,24,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho000_r0,3,4,0.0,0,0.0,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,memoryless_counts,vector_counts,0,3,0.6724137931034483,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,history_counts_h1,sequence_counts_history,1,3,0.6724137931034483,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9482758620689655,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,history_counts_h2,sequence_counts_history,2,6,0.9482758620689655,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9885057471264368,True,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,history_counts_h4,sequence_counts_history,4,12,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,history_counts_h8,sequence_counts_history,8,24,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r0,3,4,0.3333333333333333,0,0.3001531393568147,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,memoryless_counts,vector_counts,0,3,0.6810344827586207,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,history_counts_h1,sequence_counts_history,1,3,0.6810344827586207,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9597701149425287,True,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,history_counts_h2,sequence_counts_history,2,6,0.9597701149425287,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9913793103448276,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,history_counts_h4,sequence_counts_history,4,12,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,history_counts_h8,sequence_counts_history,8,24,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r1,3,4,0.3333333333333333,1,0.21962616822429906,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,memoryless_counts,vector_counts,0,3,0.6695402298850575,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,history_counts_h1,sequence_counts_history,1,3,0.6695402298850575,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9482758620689655,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,history_counts_h2,sequence_counts_history,2,6,0.9482758620689655,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9885057471264368,True,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,history_counts_h4,sequence_counts_history,4,12,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,history_counts_h8,sequence_counts_history,8,24,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho033_r2,3,4,0.3333333333333333,2,0.2601880877742947,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,memoryless_counts,vector_counts,0,3,0.8616071428571429,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,history_counts_h1,sequence_counts_history,1,3,0.8616071428571429,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9955357142857143,True,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,history_counts_h2,sequence_counts_history,2,6,0.9955357142857143,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,history_counts_h4,sequence_counts_history,4,12,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,history_counts_h8,sequence_counts_history,8,24,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r0,3,4,0.6666666666666666,0,0.5145482388973966,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,memoryless_counts,vector_counts,0,3,0.753968253968254,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,history_counts_h1,sequence_counts_history,1,3,0.753968253968254,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9642857142857143,True,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,history_counts_h2,sequence_counts_history,2,6,0.9642857142857143,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9841269841269841,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,history_counts_h4,sequence_counts_history,4,12,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,history_counts_h8,sequence_counts_history,8,24,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r1,3,4,0.6666666666666666,1,0.5218068535825545,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,memoryless_counts,vector_counts,0,3,0.8080357142857143,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,history_counts_h1,sequence_counts_history,1,3,0.8080357142857143,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9241071428571429,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,history_counts_h2,sequence_counts_history,2,6,0.9241071428571429,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9776785714285714,True,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,history_counts_h4,sequence_counts_history,4,12,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,history_counts_h8,sequence_counts_history,8,24,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho067_r2,3,4,0.6666666666666666,2,0.5752351097178683,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,memoryless_counts,vector_counts,0,3,1.0,True,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,history_counts_h1,sequence_counts_history,1,3,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,history_counts_h2,sequence_counts_history,2,6,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,history_counts_h4,sequence_counts_history,4,12,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,history_counts_h8,sequence_counts_history,8,24,1.0,False,3,memoryless_counts
trace_k3_d4_rho100_r0,3,4,1.0,0,1.0,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,3,memoryless_counts
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,memoryless_counts,vector_counts,0,3,0.5508241758241759,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,history_counts_h1,sequence_counts_history,1,3,0.5508241758241759,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9977106227106227,True,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,history_counts_h2,sequence_counts_history,2,6,0.9977106227106227,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9986263736263736,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,history_counts_h4,sequence_counts_history,4,12,0.9993131868131868,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,history_counts_h8,sequence_counts_history,8,24,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho000_r0,3,6,0.0,0,0.0,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,5,hybrid_counts_depth_last_h1
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,memoryless_counts,vector_counts,0,3,0.6064967105263158,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,history_counts_h1,sequence_counts_history,1,3,0.6064967105263158,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9391447368421053,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,history_counts_h2,sequence_counts_history,2,6,0.9391447368421053,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9761513157894737,True,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,history_counts_h4,sequence_counts_history,4,12,0.9913651315789473,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,0.9983552631578947,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,history_counts_h8,sequence_counts_history,8,24,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r0,3,6,0.3333333333333333,0,0.23824451410658307,hybrid_counts_depth_last_h8,hybrid_vector_route_history,8,19,1.0,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,memoryless_counts,vector_counts,0,3,0.609375,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,history_counts_h1,sequence_counts_history,1,3,0.609375,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,hybrid_counts_depth_last_h1,hybrid_vector_route_history,1,5,0.9453125,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,history_counts_h2,sequence_counts_history,2,6,0.9453125,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,hybrid_counts_depth_last_h2,hybrid_vector_route_history,2,7,0.9769736842105263,True,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,history_counts_h4,sequence_counts_history,4,12,0.990953947368421,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,hybrid_counts_depth_last_h4,hybrid_vector_route_history,4,11,0.9975328947368421,False,7,hybrid_counts_depth_last_h2
trace_k3_d6_rho033_r1,3,6,0.3333333333333333,1,0.26127527216174184,history_counts_h8,sequence_counts_history,8,24,1.0,False,7,hybrid_counts_depth_last_h2
