topology,aliasing,cue_visibility,model,state_dim,n_runs,action_accuracy_mean,action_accuracy_sem,decision_accuracy_mean,decision_accuracy_sem,decision_fraction_mean
bottleneck,high,cue_gap,history_h8,96,2,0.6458333333333333,0.041666666666666685,0.6046511627906976,0.04651162790697677,0.8958333333333334
bottleneck,high,cue_gap,hybrid_vector_history_h8,104,2,0.7395833333333333,0.052083333333333315,0.7093023255813954,0.05813953488372092,0.8958333333333334
bottleneck,high,cue_gap,lin_block_r3_l16,216,2,0.59375,0.07291666666666663,0.5465116279069767,0.0813953488372093,0.8958333333333334
bottleneck,high,cue_gap,memoryless_linear,12,2,0.65625,0.03125,0.6162790697674418,0.034883720930232565,0.8958333333333334
bottleneck,high,cue_gap,numpy_rnn_h32,32,2,0.65625,0.03125,0.6162790697674418,0.034883720930232565,0.8958333333333334
bottleneck,high,cue_gap,reservoir_diagonal_h32,32,2,0.71875,0.01041666666666663,0.686046511627907,0.011627906976744205,0.8958333333333334
bottleneck,high,cue_gap,reservoir_nilpotent_h32,32,2,0.5729166666666667,0.010416666666666683,0.5232558139534884,0.011627906976744151,0.8958333333333334
bottleneck,high,persistent,history_h8,96,2,0.7291666666666667,0.02083333333333331,0.7291666666666667,0.02083333333333331,1.0
bottleneck,high,persistent,hybrid_vector_history_h8,104,2,0.8020833333333333,0.052083333333333315,0.8020833333333333,0.052083333333333315,1.0
bottleneck,high,persistent,lin_block_r3_l16,216,2,0.7291666666666666,0.0,0.7291666666666666,0.0,1.0
bottleneck,high,persistent,memoryless_linear,12,2,0.65625,0.01041666666666663,0.65625,0.01041666666666663,1.0
bottleneck,high,persistent,numpy_rnn_h32,32,2,0.6770833333333333,0.010416666666666683,0.6770833333333333,0.010416666666666683,1.0
bottleneck,high,persistent,reservoir_diagonal_h32,32,2,0.78125,0.03125,0.78125,0.03125,1.0
bottleneck,high,persistent,reservoir_nilpotent_h32,32,2,0.6979166666666666,0.03125,0.6979166666666666,0.03125,1.0
bottleneck,low,cue_gap,history_h8,64,2,0.6458333333333333,0.041666666666666685,0.6046511627906976,0.04651162790697677,0.8958333333333334
bottleneck,low,cue_gap,hybrid_vector_history_h8,72,2,0.75,0.0625,0.7209302325581395,0.06976744186046507,0.8958333333333334
