task,basis,family,dim,delay,accuracy,target_norm,adjacent_lag_similarity
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,4,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,8,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,12,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,16,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,20,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,24,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,28,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,32,0.525,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,36,0.4925,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,40,0.5041666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,44,0.48333333333333334,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,48,0.4875,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,52,0.4891666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,56,0.4841666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,60,0.5141666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,64,0.5175,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,68,0.49666666666666665,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,72,0.4875,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,76,0.49583333333333335,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,80,0.5241666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,84,0.485,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,88,0.5225,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,92,0.49166666666666664,0.0,nan
delayed_cue_with_distractors,nilpotent_L32,nilpotent,32,96,0.48083333333333333,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,4,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,8,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,12,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,16,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,20,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,24,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,28,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,32,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,36,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,40,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,44,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,48,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,52,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,56,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,60,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,64,0.5091666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,68,0.5008333333333334,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,72,0.5141666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,76,0.485,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,80,0.48833333333333334,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,84,0.5241666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,88,0.5133333333333333,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,92,0.495,0.0,nan
delayed_cue_with_distractors,nilpotent_L64,nilpotent,64,96,0.4866666666666667,0.0,nan
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,4,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,8,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,12,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,16,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,20,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,24,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,28,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,32,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,36,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,40,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,44,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,48,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,52,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,56,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,60,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,64,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,68,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,72,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,76,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,80,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,84,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,88,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,92,1.0,1.0,0.0
delayed_cue_with_distractors,nilpotent_L96,nilpotent,96,96,0.49666666666666665,0.0,nan
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,4,1.0,0.9605960099999998,1.9076898061590222e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,8,1.0,0.9227446944279202,8.874727224156108e-17
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,12,1.0,0.8863848717161292,2.273286220017119e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,16,1.0,0.8514577710948756,-7.580349009926813e-17
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,20,1.0,0.8179069375972308,-8.215001457826264e-17
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,24,1.0,0.7856781408072189,3.171618636252389e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,28,1.0,0.7547192872036326,5.457240931171469e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,32,0.9316666666666666,0.7249803359578535,9.022739541239647e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,36,0.915,0.6964132180495733,1.5669123892017932e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,40,0.9358333333333333,0.6689717585696803,-6.94589889641655e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,44,0.9316666666666666,0.642611602084718,-1.6635211128769493e-17
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,48,0.9233333333333333,0.617290140942288,-1.171817871074718e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,52,0.925,0.5929664464014994,2.24679290594592e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,56,0.9408333333333333,0.5696012024771592,-1.0057203930921563e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,60,0.9283333333333333,0.5471566423907612,5.736435287858818e-16
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,64,0.8716666666666667,0.525596487525562,-1.7490608033486835e-17
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,68,0.8633333333333333,0.5048858887870696,1.3078575803279732e-15
delayed_cue_with_distractors,osc_r099_m16,oscillatory,32,72,0.8566666666666667,0.4849913702741629,-1.4237444355817208e-16
